# ----------------------------------------
# visit.odessa.ua
# Бесплатный поисковый трафик
# 20120822-20120921
# ----------------------------------------

Ключевое слово	Целевая страница	Посещения	Страниц/посещение	Ср. продолж .посещ.	"Новые посещения, %"	Показатель отказов
western одесса	/entertainment/western/	12	"1,58"	00:00:40	"41,67 %"	"83,33 %"
достопримечательности одессы	/sight/witch_house/	12	"3,08"	00:04:54	"0,00 %"	"41,67 %"
достопримечательности одессы карта	/category/sight/	12	"15,50"	00:12:12	"83,33 %"	"16,67 %"
карта одессы (посёлкок котовского)	/tag/paskot/?map=1	12	"1,00"	00:00:00	"0,00 %"	"100,00 %"
карта одессы дерибасовская	/tag/deribasovskaya/?map=1	12	"1,50"	00:01:01	"91,67 %"	"75,00 %"
карта одессы с районами	/?map=1	12	"2,25"	00:03:21	"66,67 %"	"58,33 %"
кинотеатр москва в одессе расписание	/entertainment/kinoteatr-moskva/	12	"1,17"	00:00:02	"91,67 %"	"91,67 %"
клуб парк одесса	/entertainment/park-residence/	12	"1,33"	00:00:33	"91,67 %"	"83,33 %"
одесса дом-стена	/sight/witch_house/	12	"1,08"	00:00:13	"66,67 %"	"91,67 %"
одесса достопримечательности	/category/sight/page/4/	12	"9,08"	00:08:02	"0,00 %"	"41,67 %"
одесса итака	/entertainment/itaka/	12	"2,08"	00:00:45	"83,33 %"	"25,00 %"
одесса киев автобус	/travel_to_odessa/from-kiev/by_bus/	12	"1,33"	00:00:47	"75,00 %"	"83,33 %"
одесса клуб ибица	/entertainment/ibiza/	12	"6,42"	00:02:06	"83,33 %"	"50,00 %"
одесса луганск автобус	/travel_to_odessa/from-lugansk/by_bus/	12	"1,25"	00:00:06	"100,00 %"	"83,33 %"
одесса таирово	/tag/tairova/?map=1	12	"2,17"	00:00:46	"91,67 %"	"75,00 %"
одесса трасса здоровья	/tag/trassa-zdorovya/	12	"1,25"	00:01:24	"83,33 %"	"58,33 %"
одесса что посмотреть	/sight/morvokzal/	12	"1,00"	00:00:00	"0,00 %"	"100,00 %"
памятник 12 стулу в одессе	/sight/chair/	12	"1,08"	00:00:25	"50,00 %"	"91,67 %"
расписание автобусов киев - одесса	/travel_to_odessa/from-kiev/by_bus/	12	"1,25"	00:01:07	"91,67 %"	"91,67 %"
автобус одесса киев	/travel_to_odessa/from-kiev/by_bus/	11	"1,18"	00:00:03	"81,82 %"	"90,91 %"
автобус одесса херсон	/travel_to_odessa/by_bus/	11	"1,09"	00:00:38	"63,64 %"	"72,73 %"
вестерн одесса официальный сайт	/entertainment/western/	11	"1,00"	00:00:20	"45,45 %"	"90,91 %"
гей клубы одесса	/tag/gej-klub/	11	"3,09"	00:01:24	"100,00 %"	"27,27 %"
гостиницы в аркадии одесса	/tag/gostinicy-v-arkadii/	11	"4,45"	00:04:43	"90,91 %"	"0,00 %"
дача ковалевского	/tag/dacha-kavalevskogo/	11	"1,73"	00:00:44	"100,00 %"	"63,64 %"
достопримечательности одессы	/category/sight/page/8/	11	"3,27"	00:01:22	"9,09 %"	"36,36 %"
достопримечательности одессы	/sight/catacombs/	11	"3,82"	00:01:59	"0,00 %"	"72,73 %"
итака одесса	/entertainment/ibiza/	11	"3,27"	00:02:42	"54,55 %"	"18,18 %"
